1,Toy Story,Animation
2,Jumanji,Adventure
3,Grumpier Old Men,Comedy
4,Waiting to Exhale,Comedy
5,Father of the Bride Part II,Comedy
6,Heat,Action
7,Sabrina,Comedy
8,Tom and Huck,Adventure
9,Sudden Death,Action
10,GoldenEye,Action
11,American PresidentThe,Comedy
12,Dracula: Dead and Loving It,Comedy
13,Balto,Animation
14,Nixon,Drama
15,Cutthroat Island,Action
16,Casino,Drama
17,Sense and Sensibility,Drama
18,Four Rooms,Thriller
19,Ace Ventura: When Nature Calls,Comedy
20,Money Train,Action
21,Get Shorty,Action
22,Copycat,Crime
23,Assassins,Thriller
24,Powder,Drama
25,Leaving Las Vegas,Drama
26,Othello,Drama
27,Now and Then,Drama
28,Persuasion,Romance
29,City of Lost ChildrenThe,Adventure
30,Shanghai Triad (Yao a yao yao dao waipo qiao),Drama
31,Dangerous Minds,Drama
32,Twelve Monkeys,Drama
33,Wings of Courage,Adventure
34,Babe,Children's
35,Carrington,Drama
36,Dead Man Walking,Drama
37,Across the Sea of Time,Documentary
38,It Takes Two,Comedy
39,Clueless,Comedy
40,Crythe Beloved Country,Drama
41,Richard III,Drama
42,Dead Presidents,Action
43,Restoration,Drama
44,Mortal Kombat,Action
45,To Die For,Comedy
46,How to Make an American Quilt,Drama
47,Seven (Se7en),Crime
48,Pocahontas,Animation
49,When Night Is Falling,Drama
50,Usual SuspectsThe,Crime
51,Guardian Angel,Action
52,Mighty Aphrodite,Comedy
53,Lamerica,Drama
54,Big GreenThe,Children's
55,Georgia,Drama
56,Kids of the Round Table,Adventure
57,Home for the Holidays,Drama
58,PostinoIl (The Postman),Drama
59,ConfessionalThe (Le Confessionnal),Drama
60,Indian in the CupboardThe,Adventure
61,Eye for an Eye,Drama
62,Mr. Holland's Opus,Drama
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Comedy
64,Two if by Sea,Comedy
65,Bio-Dome,Comedy
66,Lawnmower Man 2: Beyond Cyberspace,Sci-Fi
67,Two Bits,Drama
68,French Twist (Gazon maudit),Comedy
69,Friday,Comedy
70,From Dusk Till Dawn,Action
71,Fair Game,Action
72,Kicking and Screaming,Comedy
73,Mis�rablesLes,Drama
74,Bed of Roses,Drama
75,Big Bully,Comedy
76,Screamers,Sci-Fi
77,Nico Icon,Documentary
78,Crossing GuardThe,Drama
79,JurorThe,Drama
80,White BalloonThe (Badkonake Sefid ),Drama
81,Things to Do in Denver when You're Dead,Crime
82,Antonia's Line (Antonia),Drama
83,Once Upon a Time... When We Were Colored,Drama
84,Last Summer in the Hamptons,Comedy
85,Angels and Insects,Drama
86,White Squall,Adventure
87,Dunston Checks In,Children's
88,Black Sheep,Comedy
89,Nick of Time,Action
90,Journey of August KingThe,Drama
92,Mary Reilly,Drama
93,Vampire in Brooklyn,Comedy
94,Beautiful Girls,Drama
95,Broken Arrow,Action
96,In the Bleak Midwinter,Comedy
97,Hate (HaineLa),Drama
98,Shopping,Action
99,Heidi Fleiss: Hollywood Madam,Documentary
100,City Hall,Drama
101,Bottle Rocket,Comedy
102,Mr. Wrong,Comedy
103,Unforgettable,Thriller
104,Happy Gilmore,Comedy
105,Bridges of Madison CountyThe,Drama
106,Nobody Loves Me (Keiner liebt mich),Comedy
107,Muppet Treasure Island,Adventure
108,Catwalk,Documentary
109,Headless Body in Topless Bar,Comedy
110,Braveheart,Action
111,Taxi Driver,Drama
112,Rumble in the Bronx,Action
113,Before and After,Drama
114,Margaret's Museum,Drama
115,Happiness Is in the Field,Comedy
116,Anne Frank Remembered,Documentary
117,Young Poisoner's HandbookThe,Crime
118,If Lucy Fell,Comedy
119,Steal BigSteal Little,Comedy
120,Race the Sun,Drama
121,Boys of St. VincentThe,Drama
122,Boomerang,Comedy
123,Chungking Express,Drama
124,Star MakerThe (Uomo delle stelleL'),Drama
125,Flirting With Disaster,Comedy
126,NeverEnding Story IIIThe,Adventure
127,Silence of the PalaceThe (Saimt el Qusur),Drama
128,Jupiter's Wife,Documentary
129,Pie in the Sky,Comedy
130,Angela,Drama
131,Frankie Starlight,Drama
132,Jade,Thriller
133,Nueba Yol,Comedy
134,Sonic Outlaws,Documentary
135,Down Periscope,Comedy
136,From the Journals of Jean Seberg,Documentary
137,Man of the Year,Documentary
138,Neon BibleThe,Drama
139,Target,Action
140,Up Close and Personal,Drama
141,BirdcageThe,Comedy
142,Shadows (Cienie),Drama
143,Gospa,Drama
144,Brothers McMullenThe,Comedy
145,Bad Boys,Action
146,Amazing Panda AdventureThe,Adventure
147,Basketball DiariesThe,Drama
148,Awfully Big AdventureAn,Drama
149,Amateur,Crime
150,Apollo 13,Drama
151,Rob Roy,Drama
152,AddictionThe,Horror
153,Batman Forever,Action
154,Belle de jour,Drama
155,Beyond Rangoon,Drama
156,Blue in the Face,Comedy
157,Canadian Bacon,Comedy
158,Casper,Adventure
159,Clockers,Drama
160,Congo,Action
161,Crimson Tide,Drama
162,Crumb,Documentary
163,Desperado,Action
164,Devil in a Blue Dress,Crime
165,Die Hard: With a Vengeance,Action
166,Doom GenerationThe,Comedy
167,Feast of July,Drama
168,First Knight,Action
169,Free Willy 2: The Adventure Home,Adventure
170,Hackers,Action
171,Jeffrey,Comedy
172,Johnny Mnemonic,Action
173,Judge Dredd,Action
174,Jury Duty,Comedy
175,Kids,Drama
176,Living in Oblivion,Comedy
177,Lord of Illusions,Horror
178,Love & Human Remains,Comedy
179,Mad Love,Drama
180,Mallrats,Comedy
181,Mighty Morphin Power Rangers: The Movie,Action
182,Moonlight and Valentino,Drama
183,Mute Witness,Thriller
184,Nadja,Drama
185,NetThe,Sci-Fi
186,Nine Months,Comedy
187,Party Girl,Comedy
188,ProphecyThe,Horror
189,Reckless,Comedy
190,Safe,Thriller
191,Scarlet LetterThe,Drama
192,ShowThe,Documentary
193,Showgirls,Drama
194,Smoke,Drama
195,Something to Talk About,Comedy
196,Species,Horror
197,Stars Fell on HenriettaThe,Drama
198,Strange Days,Action
199,Umbrellas of CherbourgThe (Parapluies de CherbourgLes),Drama
200,Tie That BindsThe,Thriller
201,Three Wishes,Drama
202,Total Eclipse,Drama
203,To Wong FooThanks for Everything! Julie Newmar,Comedy
204,Under Siege 2: Dark Territory,Action
205,Unstrung Heroes,Comedy
206,Unzipped,Documentary
207,Walk in the CloudsA,Drama
208,Waterworld,Action
209,White Man's Burden,Drama
210,Wild Bill,Western
211,Browning VersionThe,Drama
212,Bushwhacked,Comedy
213,Burnt By the Sun (Utomlyonnye solntsem),Drama
214,Before the Rain (Pred dozhdot),Drama
215,Before Sunrise,Drama
216,Billy Madison,Comedy
217,BabysitterThe,Drama
218,Boys on the Side,Comedy
219,CureThe,Drama
220,Castle Freak,Horror
222,Circle of Friends,Drama
223,Clerks,Comedy
224,Don Juan DeMarco,Comedy
225,Disclosure,Drama
226,Dream Man,Thriller
227,Drop Zone,Action
228,Destiny Turns on the Radio,Comedy
229,Death and the Maiden,Drama
230,Dolores Claiborne,Drama
231,Dumb & Dumber,Comedy
232,Eat Drink Man Woman,Comedy
233,Exotica,Drama
234,Exit to Eden,Comedy
235,Ed Wood,Comedy
236,French Kiss,Comedy
237,Forget Paris,Comedy
238,Far From Home: The Adventures of Yellow Dog,Adventure
239,Goofy MovieA,Animation
240,Hideaway,Thriller
241,Fluke,Children's
242,Farinelli: il castrato,Drama
243,Gordy,Comedy
244,Gumby: The Movie,Animation
245,Glass ShieldThe,Crime
246,Hoop Dreams,Documentary
247,Heavenly Creatures,Drama
248,Houseguest,Comedy
249,Immortal Beloved,Drama
250,Heavyweights,Children's
251,HuntedThe,Action
252,I.Q.,Comedy
253,Interview with the Vampire,Drama
254,Jefferson in Paris,Drama
255,Jerky BoysThe,Comedy
256,Junior,Comedy
257,Just Cause,Mystery
258,Kid in King Arthur's CourtA,Adventure
259,Kiss of Death,Crime
260,Star Wars: Episode IV - A New Hope,Action
261,Little Women,Drama
